date,temperature_2m_mean,precipitation_sum,precipitation_hours
2020-03-01,-3.9,0.0,0.0
2020-03-02,-4.8,0.0,0.0
2020-03-03,-2.7,0.1,1.0
2020-03-04,-4.3,0.0,0.0
2020-03-05,-5.5,14.5,17.0
2020-03-06,-9.0,1.6,14.0
2020-03-07,-10.9,1.0,5.0
2020-03-08,-9.1,0.0,0.0
2020-03-09,-10.0,0.0,0.0
2020-03-10,-8.6,0.0,0.0
2020-03-11,-8.3,0.3,3.0
2020-03-12,-5.3,0.0,0.0
2020-03-13,-7.0,0.0,0.0
2020-03-14,-5.1,0.0,0.0
2020-03-15,-4.7,0.0,0.0
2020-03-16,-3.3,0.0,0.0
2020-03-17,-0.1,0.0,0.0
2020-03-18,-1.0,0.0,0.0
2020-03-19,-1.4,0.2,2.0
2020-03-20,0.6,0.0,0.0
2020-03-21,-2.2,10.7,14.0
2020-03-22,-1.7,0.0,0.0
2020-03-23,0.7,3.7,11.0
2020-03-24,-0.1,29.8,18.0
2020-03-25,-1.3,11.8,22.0
2020-03-26,-3.2,2.7,8.0
2020-03-27,-0.8,7.1,12.0
2020-03-28,-3.5,2.2,11.0
2020-03-29,-3.3,0.7,4.0
2020-03-30,-0.9,1.0,7.0
2020-03-31,0.2,1.3,5.0
2020-04-01,-1.3,12.4,19.0
2020-04-02,-3.3,2.2,6.0
2020-04-03,-1.2,0.0,0.0
2020-04-04,-1.0,0.0,0.0
2020-04-05,0.7,3.1,5.0
2020-04-06,0.4,0.0,0.0
2020-04-07,0.7,0.0,0.0
2020-04-08,-1.3,2.9,10.0
2020-04-09,-8.3,2.3,6.0
2020-04-10,1.4,0.2,2.0
2020-04-11,2.5,3.2,12.0
2020-04-12,4.4,2.0,7.0
2020-04-13,2.2,15.1,17.0
2020-04-14,0.2,10.6,23.0
2020-04-15,-1.3,10.7,11.0
2020-04-16,0.2,0.2,2.0
2020-04-17,-0.2,1.2,5.0
2020-04-18,1.1,0.0,0.0
2020-04-19,1.4,0.6,4.0
2020-04-20,2.1,2.2,8.0
2020-04-21,2.0,1.1,5.0
2020-04-22,3.0,0.1,1.0
2020-04-23,4.6,0.0,0.0
2020-04-24,4.7,0.0,0.0
2020-04-25,3.8,0.7,2.0
2020-04-26,5.5,0.0,0.0
2020-04-27,5.3,0.0,0.0
2020-04-28,5.2,10.9,10.0
2020-04-29,4.5,22.8,15.0
2020-04-30,2.9,2.6,5.0
2020-05-01,5.2,8.9,11.0
2020-05-02,4.0,0.0,0.0
2020-05-03,1.4,3.3,7.0
2020-05-04,5.3,0.0,0.0
2020-05-05,2.1,11.1,17.0
2020-05-06,1.7,2.6,10.0
2020-05-07,4.3,0.5,2.0
2020-05-08,4.3,6.1,9.0
2020-05-09,3.2,5.2,10.0
2020-05-10,2.6,0.6,5.0
2020-05-11,5.4,0.0,0.0
2020-05-12,5.0,0.2,2.0
2020-05-13,5.4,1.1,4.0
2020-05-14,2.7,21.1,13.0
2020-05-15,2.6,1.1,4.0
2020-05-16,2.0,10.0,16.0
2020-05-17,2.3,1.2,5.0
2020-05-18,2.4,17.9,19.0
2020-05-19,1.8,0.1,1.0
2020-05-20,1.8,0.5,3.0
2020-05-21,3.1,2.5,5.0
2020-05-22,4.0,0.0,0.0
2020-05-23,5.2,0.0,0.0
2020-05-24,7.6,0.0,0.0
2020-05-25,6.2,0.0,0.0
2020-05-26,7.4,0.0,0.0
2020-05-27,9.4,0.4,1.0
2020-05-28,6.8,7.2,9.0
2020-05-29,5.5,13.9,18.0
2020-05-30,5.1,1.6,6.0
2020-05-31,6.8,3.9,5.0
2020-06-01,7.3,2.4,7.0
2020-06-02,6.8,8.8,11.0
2020-06-03,7.3,6.2,8.0
2020-06-04,7.7,6.7,16.0
2020-06-05,6.8,29.5,23.0
2020-06-06,6.1,14.8,11.0
2020-06-07,7.4,11.2,15.0
2020-06-08,3.9,11.7,15.0
2020-06-09,5.8,5.1,10.0
2020-06-10,4.1,6.5,18.0
2020-06-11,4.5,2.6,15.0
2020-06-12,5.0,4.7,4.0
2020-06-13,6.6,1.7,2.0
2020-06-14,9.0,0.2,1.0
2020-06-15,6.9,4.9,6.0
2020-06-16,7.6,7.5,12.0
2020-06-17,5.0,7.9,12.0
2020-06-18,4.1,4.2,17.0
2020-06-19,7.4,1.6,7.0
2020-06-20,6.5,2.3,7.0
2020-06-21,9.0,0.0,0.0
2020-06-22,12.0,1.0,6.0
2020-06-23,8.2,6.3,17.0
2020-06-24,6.0,5.8,9.0
2020-06-25,9.5,2.7,6.0
2020-06-26,7.2,5.4,16.0
2020-06-27,2.9,31.1,22.0
2020-06-28,-0.1,0.4,3.0
2020-06-29,7.3,0.0,0.0
2020-06-30,8.4,7.4,17.0
2020-07-01,8.2,2.3,7.0
2020-07-02,8.1,7.1,14.0
2020-07-03,8.7,0.1,1.0
2020-07-04,8.4,0.9,3.0
2020-07-05,7.2,5.1,10.0
2020-07-06,5.7,3.0,7.0
2020-07-07,10.5,0.0,0.0
2020-07-08,11.9,4.8,9.0
2020-07-09,8.3,11.4,18.0
2020-07-10,8.3,21.3,22.0
2020-07-11,8.0,1.8,7.0
2020-07-12,10.2,0.5,3.0
2020-07-13,10.0,7.1,15.0
2020-07-14,9.4,9.5,13.0
2020-07-15,9.9,2.3,7.0
2020-07-16,10.0,2.3,5.0
2020-07-17,11.2,2.7,7.0
2020-07-18,9.8,14.4,19.0
2020-07-19,9.8,3.5,12.0
2020-07-20,8.8,10.2,20.0
2020-07-21,7.2,14.4,14.0
2020-07-22,9.3,0.5,3.0
2020-07-23,11.5,0.0,0.0
2020-07-24,10.4,0.6,4.0
2020-07-25,12.3,0.9,5.0
2020-07-26,11.7,14.6,20.0
2020-07-27,8.9,6.1,10.0
2020-07-28,9.5,8.5,16.0
2020-07-29,8.4,9.3,10.0
2020-07-30,12.7,0.0,0.0
2020-07-31,10.3,5.7,9.0
2020-08-01,10.6,8.4,16.0
2020-08-02,8.6,9.4,20.0
2020-08-03,9.6,0.6,5.0
2020-08-04,10.6,2.0,7.0
2020-08-05,10.2,0.6,6.0
2020-08-06,13.0,0.0,0.0
2020-08-07,12.4,0.9,5.0
2020-08-08,12.9,2.4,8.0
2020-08-09,8.9,13.4,17.0
2020-08-10,10.2,6.7,17.0
2020-08-11,10.0,7.4,13.0
2020-08-12,10.1,1.1,6.0
2020-08-13,8.8,2.6,7.0
2020-08-14,8.9,1.2,7.0
2020-08-15,10.3,0.6,4.0
2020-08-16,11.8,2.6,7.0
2020-08-17,11.7,13.3,17.0
2020-08-18,8.2,16.6,18.0
2020-08-19,8.5,1.2,6.0
2020-08-20,7.3,8.0,15.0
2020-08-21,7.5,0.6,5.0
2020-08-22,10.8,0.0,0.0
2020-08-23,11.6,0.0,0.0
2020-08-24,13.5,0.0,0.0
2020-08-25,10.9,2.1,3.0
2020-08-26,8.2,19.4,22.0
2020-08-27,4.3,2.4,8.0
2020-08-28,7.6,0.0,0.0
2020-08-29,9.0,4.2,13.0
2020-08-30,8.0,0.5,5.0
2020-08-31,8.7,13.1,13.0
